title,aka,genres,year,votes,rating
The Shawshank Redemption (1994),"['Die Verurteilten (1995)', 'Die Verurteilten (1995)', 'Le ali della libertà (1994)', 'Rita Hayworth and the Shawshank Redemption (1994)', 'The Prisoner (1995)']","['Crime', 'Drama']",[1994],1740070,9.3
The Dark Knight (2008),"['Batman Begins 2 (2005)', 'Batman: The Dark Knight (2008)', 'Il cavaliere oscuro (2008)', ""Rory's First Kiss (2007)"", 'The Dark Knight (2008)', 'The Dark Knight: The IMAX Experience (2008)', 'Untitled Batman Begins Sequel (2006)', 'Winter Green (2008)']","['Action', 'Crime', 'Drama', 'Thriller']",[2008],1724382,9.0
Inception (2010),"['Inception: The IMAX Experience (2010)', ""Oliver's Arrow (2009)""]","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2010],1515276,8.8
Fight Club (1999),"['Fight Club (1999)', 'Fight Club (1999)', 'Fight Club (1999)']",['Drama'],[1999],1389487,8.8
Pulp Fiction (1994),"['Black Mask (1994)', 'Pulp Fiction (1994)', 'Pulp Fiction (1994)', 'Pulp Fiction (1994)', 'Pulp Fiction (1994)']","['Crime', 'Drama']",[1994],1362518,8.9
Forrest Gump (1994),"['Forrest Gump (1994)', 'Forrest Gump (1994)', 'Forrest Gump (1994)', 'Forrest Gump: The IMAX Experience (2014)']","['Comedy', 'Drama']",[1994],1294929,8.8
The Lord of the Rings: The Fellowship of the Ring (2001),"['Der Herr der Ringe - Die Gefährten (2001)', ""Il signore degli anelli - La compagnia dell'anello (2002)"", 'The Fellowship of the Ring (2001)', 'The Lord of the Rings: The Fellowship of the Ring (2001)', 'The Lord of the Rings: The Fellowship of the Ring (2001)', 'The Lord of the Rings: The Fellowship of the Ring: The Motion Picture (2001)']","['Adventure', 'Drama', 'Fantasy']",[2001],1271910,8.8
The Matrix (1999),"['Matrix (1999)', 'Matrix (1999)', 'Matrix (1999)']","['Action', 'Sci-Fi']",[1999],1252742,8.7
The Lord of the Rings: The Return of the King (2003),"['Der Herr der Ringe - Die Rückkehr des Königs (2003)', 'Il signore degli anelli - Il ritorno del re (2004)', 'The Lord of the Rings: The Return of the King (2003)', 'The Return of the King (2003)']","['Adventure', 'Drama', 'Fantasy']",[2003],1249579,8.9
The Dark Knight Rises (2012),"['Arkham (2010)', 'Batman 3 (2012)', 'Gotham (2010)', 'Il cavaliere oscuro - Il ritorno (2012)', 'Magnus Rex (2011)', 'T.D.K.R. (2012)', 'The Dark Knight Rises (2012)', 'The Dark Knight Rises: The IMAX Experience (2012)']","['Action', 'Thriller']",[2012],1177459,8.5
The Lord of the Rings: The Two Towers (2002),"['Der Herr der Ringe - Die zwei Türme (2002)', 'Il signore degli anelli - Le due torri (2003)', 'The Lord of the Rings: The Two Towers (2002)', 'The Two Towers (2002)']","['Adventure', 'Drama', 'Fantasy']",[2002],1131829,8.7
Se7en (1995),"['Seven (1995)', 'Seven (1995)', 'Seven (1996)', 'Seven (1996)', 'Seven (1997)', 'Sieben (1995)', 'Sieben (1995)', 'The Seven Deadly Sins (1994)']","['Crime', 'Drama', 'Mystery', 'Thriller']",[1995],1056619,8.6
The Avengers (2012),"['Avengers Assemble (2012)', 'Avengers Assemble (2012)', 'Avengers Assemble (2012)', 'Avengers Assemble (2012)', 'Group Hug (2012)', 'Marvel Avengers Assemble (2012)', ""Marvel's The Avengers (2012)"", 'The Avengers (2012)', 'The Avengers (2012)', 'The Avengers (2012)', 'The Avengers: An IMAX 3D Experience (2012)']","['Action', 'Sci-Fi']",[2012],1020053,8.1
Gladiator (2000),"['Gladiator (2000)', 'Gladiator (2000)', 'Gladiator (2000)', 'Il gladiatore (2000)', 'The Gladiators (1999)']","['Action', 'Adventure', 'Drama']",[2000],1011980,8.5
Batman Begins (2005),"['Batman 5 (2003)', 'Batman Begins (2005)', 'Batman Begins (2005)', 'Batman Begins (2005)', 'Batman Begins: The IMAX Experience (2005)', 'Batman: Intimidation (2003)', 'Party In Fresno (2005)', 'The Intimidation Game (2005)']","['Action', 'Adventure']",[2005],1009797,8.3
Django Unchained (2012),[],"['Drama', 'Western']",[2012],989685,8.4
Interstellar (2014),"[""Flora's Letter (2013)"", 'Untitled Steven Spielberg Space Project (2006)']","['Adventure', 'Drama', 'Sci-Fi']",[2014],977542,8.6
The Silence of the Lambs (1991),"['Das Schweigen der Lämmer (1991)', 'Das Schweigen der Lämmer (1991)', 'Il silenzio degli innocenti (1991)', 'Silence of the Lambs (1991)']","['Crime', 'Drama', 'Thriller']",[1991],917280,8.6
Inglourious Basterds (2009),"['Bastardi senza gloria (2009)', 'Inglorious Bastards (2008)', 'Inglourious Basterds (2009)']","['Adventure', 'Drama', 'War']",[2009],915294,8.3
Saving Private Ryan (1998),"['Der Soldat James Ryan (1998)', 'Der Soldat James Ryan (1998)', 'Private Ryan (1998)', 'Salvate il soldato Ryan (1998)']","['Action', 'Drama', 'War']",[1998],909650,8.6
Avatar (2009),"['Avatar - Aufbruch nach Pandora (2009)', 'Avatar: An IMAX 3D Experience (2009)', 'Avatar: Special Edition (2010)', ""James Cameron's Avatar (2009)"", 'Project 880 (2005)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2009],906258,7.9
The Departed (2006),"['Departed - Unter Feinden (2006)', 'The Departed - Il bene e il male (2006)']","['Crime', 'Drama', 'Thriller']",[2006],899768,8.5
Schindler's List (1993),"[""Schindler's List (1993)"", ""Schindler's List (1993)"", ""Schindler's List - La lista di Schindler (1993)"", 'Schindlers Liste (1994)', 'Schindlers Liste (1994)', ""Steven Spielberg's Schindler's List (1994)""]","['Biography', 'Drama', 'History']",[1993],891351,8.9
The Prestige (2006),"['Prestige - Die Meister der Magie (2007)', 'The Prestige (2006)']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",[2006],872486,8.5
Memento (2000),"['Memento (2000)', 'Memento (2000)', 'Memento (2000)']","['Mystery', 'Thriller']",[2000],870182,8.5
American Beauty (1999),"['American Beauty (1999)', 'American Beauty (1999)', 'American Beauty (1999)']","['Drama', 'Romance']",[1999],844851,8.4
Pirates of the Caribbean: The Curse of the Black Pearl (2003),"['Fluch der Karibik (2003)', 'Fluch der Karibik (2003)', 'La maledizione della prima luna (2003)', 'La maledizione della prima luna - Pirates of the Caribbean (2003)', 'P.O.T.C. (2003)', 'Pirates of the Caribbean (2002)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Pirati dei Caraibi: La maledizione della prima luna (2003)']","['Action', 'Adventure', 'Fantasy']",[2003],830954,8.0
The Wolf of Wall Street (2013),"['The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)']","['Biography', 'Comedy', 'Crime', 'Drama']",[2013],816079,8.2
V for Vendetta (2005),"['V for Vendetta (2005)', 'V for Vendetta: At the IMAX (2006)', 'V for Vendetta: The IMAX Experience (2006)', 'V per Vendetta (2006)', 'V wie Vendetta (2006)']","['Action', 'Drama', 'Thriller']",[2005],816008,8.2
Shutter Island (2010),"['Ashecliffe (2008)', 'Shutter Island (2010)']","['Mystery', 'Thriller']",[2010],814692,8.1
